Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/EpCostRegret,Train/Epoch,Train/TotalSteps,Train/KL,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv,Misc/Alpha,Misc/FinalStepNorm,Misc/xHx,Misc/gradient_norm,Misc/H_inv_g,Misc/AcceptanceStep
-0.42141740823490637,25.85516828695041,1000.0,195.5,1,20000,0.006924933,0.006333823853830813,1.1515660149181723,4.386901863995263e-08,13.371458053588867,10.050579309463501,23.422046184539795,-7.629394338515283e-10,3.662109193669494e-08,0.9908279776573181,0.2521846890449524,0.02037198096513748,0.10157075524330139,0.25451916456222534,1.0
-0.22790659253677698,34.52892486756001,1000.0,834.8,2,40000,0.0056505036,0.002217517212733247,0.7381736110634864,-1.907348590179936e-08,11.310476779937744,8.523256063461304,19.83373475074768,1.2207030941624453e-08,-6.103515470812226e-09,0.7775417566299438,0.2994086444377899,0.033081285655498505,0.1468353122472763,0.3061788082122803,1.0
-0.11274130047833086,33.190043270055284,1000.0,1318.0,3,60000,0.005060895,0.00243983509806489,0.6532315815045575,2.2888182016345127e-08,11.35332465171814,8.582454442977905,19.9357807636261,-4.577636492086867e-09,3.05175760217935e-08,0.8253516554832458,0.3179675042629242,0.029359713196754456,0.1280866414308548,0.29320093989372253,1.0
-0.010797494926460515,39.991,1000.0,1765.8,4,80000,0.0053856988,0.0015941794867520547,0.8470657180828653,5.1498410869044164e-08,11.346325874328613,8.497949123382568,19.844276666641235,1.1444091230217168e-09,5.187987994759169e-08,0.8338871002197266,0.31081652641296387,0.02876175194978714,0.10502050817012787,0.3258814215660095,1.0
-0.14196631019374062,29.831999999999994,1000.0,1290.4,5,100000,0.0051343576,0.0016783157008726766,0.8498103382291308,1.7166139620883314e-09,11.234463930130005,8.520589351654053,19.75505805015564,-4.100799255724041e-09,0.0,0.9557285904884338,0.31780678033828735,0.021895792335271835,0.11010517179965973,0.2603569030761719,1.0
-0.5065747250586735,21.285999999999998,1000.0,852.55,6,120000,0.0053808815,0.002525987813566592,0.7631711063111664,2.6702881683604573e-08,11.20124864578247,8.54064655303955,19.741897344589233,-1.831054596834747e-08,1.5258788677030566e-09,0.9970468282699585,0.30590805411338806,0.02011864259839058,0.10835876315832138,0.24095429480075836,1.0
-0.835544264748677,20.918,1000.0,876.35,7,140000,0.0051980796,0.0019212603996875608,0.6060947494711846,1.983642405889441e-08,11.254326105117798,8.521934270858765,19.776262283325195,0.0,1.678466787780053e-08,0.8311418294906616,0.3016589283943176,0.028952065855264664,0.15770772099494934,0.27157700061798096,1.0
-0.9570627079962902,20.812999999999995,1000.0,905.65,8,160000,0.0067034084,0.001976982984398225,0.5017799483837595,1.3351440841802287e-08,11.272092342376709,8.535678148269653,19.807772397994995,-1.0681151962899094e-08,1.907348501362094e-09,0.7937706708908081,0.2627459466457367,0.0317423976957798,0.13855893909931183,0.3070227801799774,1.0
-1.1009917341387558,10.920999999999996,1000.0,471.05,9,180000,0.0069562285,0.0023315731415252208,0.43222236864885705,-1.754760603489558e-08,11.24516224861145,8.538004398345947,19.78316831588745,2.2888182460434336e-09,-1.2207030941624453e-08,0.8821535110473633,0.24030888080596924,0.025700492784380913,0.15162178874015808,0.27241164445877075,1.0
-1.0992618449420897,2.599,1000.0,86.2,10,200000,0.006993251,0.0020036355203765024,0.27176660307843215,-1.1062621929625038e-08,11.263449668884277,8.6172776222229,19.88072919845581,9.155272984173735e-09,-5.7220459481754915e-09,0.8034700155258179,0.2503417730331421,0.03098064661026001,0.14313746988773346,0.3115757703781128,1.0
