Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/EpCostRegret,Train/Epoch,Train/TotalSteps,Train/KL,Train/div,Train/target_div,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv,Misc/Alpha,Misc/FinalStepNorm,Misc/xHx,Misc/gradient_norm,Misc/H_inv_g,Misc/AcceptanceStep,Misc/optim_case
-262.7042182652561,1.0094137707760535,84.71569308876617,0.0,1,20000,0.006743608508259058,0.006781137082725763,0.01,410.04499104007795,0.33889904212040506,-0.04921676591038704,10.71847939491272,12.183146953582764,22.901636600494385,-1.8081664165947586e-07,3.051757735406113e-09,0.3791581094264984,0.2707739472389221,0.13911989331245422,0.20820339024066925,0.7141451835632324,1.0,1.0
-372.73852884059033,0.8951388888888889,140.16805555555553,0.0,2,40000,0.006099401973187923,0.006099283695220947,0.01,248.61579853227943,0.23222397715446486,-0.0404287651181221,7.8593127727508545,10.140989780426025,18.00030541419983,-1.5563963984277507e-07,-2.2888182460434336e-09,0.4707637429237366,0.2912707030773163,0.09024516493082047,0.15891821682453156,0.6187195181846619,1.0,1.0
-297.9740822318396,0.9676271186440677,132.04559322033901,0.0,3,60000,0.005819288548082113,0.005820521619170904,0.01,227.17764539293424,0.3212057772430645,-0.03424767404794693,7.842830419540405,10.163763761520386,18.006596326828003,2.9754637864698452e-08,-3.051757735406113e-09,0.5699114799499512,0.3015838861465454,0.06157651171088219,0.12845821678638458,0.5291767120361328,1.0,1.0
-236.34934162799945,1.1812500000000001,123.99510416666665,0.0,4,80000,0.006182857323437929,0.006206840742379427,0.01,285.33863839313483,0.3984828850361192,-0.038421325385570526,7.857626438140869,10.156674146652222,18.014302492141724,-1.3732909920349812e-08,5.340575981449547e-09,0.5071313977241516,0.2901950776576996,0.07776585221290588,0.14849579334259033,0.5722285509109497,1.0,1.0
-252.16530771756447,1.2850847457627117,155.94186440677964,0.0,5,100000,0.005659230053424835,0.005693409591913223,0.01,195.56434422389717,0.36632138199772046,-0.03690227121114731,7.789460182189941,10.08580207824707,17.875263929367065,-6.103515470812226e-09,-3.051757735406113e-09,0.5217990279197693,0.30520594120025635,0.07345534861087799,0.13826772570610046,0.5849109292030334,1.0,1.0
-234.6939015567306,1.180521739130435,167.14173913043476,0.0,6,120000,0.005818410310894251,0.0058667310513556,0.01,142.4249929197275,0.31535312543581623,-0.036573175340890884,7.806399345397949,10.162742376327515,17.969144344329834,3.051757735406113e-09,1.5258788677030566e-09,0.5269752144813538,0.29990100860595703,0.07201940566301346,0.14219945669174194,0.5690988898277283,1.0,1.0
-181.13441961738482,0.8857142857142857,155.94367346938776,0.0,7,140000,0.0061265272088348866,0.006385621149092913,0.01,149.9807002559589,0.2355394005466988,-0.038177359849214554,7.815379619598389,10.139371871948242,17.95475435256958,1.907348590179936e-08,-2.2888182460434336e-09,0.4860617220401764,0.29176995158195496,0.08465392887592316,0.1604326069355011,0.6002734899520874,1.0,1.0
-85.38332794009482,0.9739795918367348,88.97979591836736,0.0,8,160000,0.005823929328471422,0.0058754910714924335,0.01,192.67421602625757,0.3921260173343549,-0.0387042760848999,7.846293926239014,10.088763952255249,17.935060024261475,1.754760781125242e-08,0.0,0.5161778330802917,0.3028542995452881,0.07506392151117325,0.14349164068698883,0.5867247581481934,1.0,1.0
-100.76001764769336,1.10353591160221,125.55524861878453,0.0,9,180000,0.0059815398417413235,0.006027744617313147,0.01,139.3499246779521,0.4327793349790725,-0.03699966147542,7.866948843002319,10.18915581703186,18.056106328964233,-1.525878801089675e-08,1.5258788677030566e-09,0.5063615441322327,0.2959342300891876,0.07800249755382538,0.1541719287633896,0.5844326615333557,1.0,1.0
-60.684963755787116,0.9544761904761905,91.02666666666666,0.0,10,200000,0.00577973946928978,0.005783499218523502,0.01,131.091313812839,0.4116214125921392,-0.034330688416957855,7.900140762329102,10.20125961303711,18.101402521133423,2.8991697931246563e-08,-7.629394338515283e-10,0.5584202408790588,0.30231812596321106,0.06413684785366058,0.13567650318145752,0.5413810014724731,1.0,1.0
-52.36621167071902,0.9753608247422682,98.52391752577319,0.0,11,220000,0.006289852783083916,0.006291334051638842,0.01,81.75511193974003,0.3607185568470674,-0.03857674449682236,7.872279644012451,10.140148162841797,18.01242971420288,4.1961669694501325e-08,7.629394338515283e-10,0.5084266662597656,0.289679616689682,0.07737012952566147,0.15093901753425598,0.5697569251060486,1.0,1.0
-49.89919457410255,1.169112426035503,124.13952662721893,0.0,12,240000,0.006140394601970911,0.006158620584756136,0.01,64.22628347797759,0.40394403493613196,-0.04090837761759758,7.873571157455444,10.187724113464355,18.06129765510559,-2.2888182460434336e-09,2.2888182460434336e-09,0.4776221513748169,0.2893039882183075,0.08767202496528625,0.16520270705223083,0.6057172417640686,1.0,1.0
-30.815821743704845,1.001105527638191,107.27497487437186,1.0050251256281406,13,260000,0.006356912199407816,0.006413856986910105,0.01,56.83285428247634,0.37993422898517293,-0.038583219051361084,7.888107776641846,10.162309646606445,18.05042052268982,5.9509275729396904e-08,0.0,0.48497626185417175,0.2854961156845093,0.08503329008817673,0.16359557211399078,0.5886805653572083,1.0,1.0
-28.37563629604498,1.3147619047619046,155.46952380952382,0.0,14,280000,0.005955025553703308,0.005958116613328457,0.01,40.24485405357021,0.2886049016455936,-0.04294075071811676,7.8361310958862305,10.105252504348755,17.941385984420776,2.5939939973795845e-08,-5.245208711812666e-10,0.4463055431842804,0.2915469706058502,0.10040731728076935,0.1786833554506302,0.653245210647583,1.0,1.0
-10.273837603802585,1.2923529411764705,117.35141176470587,0.0,15,300000,0.006462771445512772,0.006506659090518951,0.01,53.5875882154817,0.4969846563971346,-0.03902871161699295,7.8534252643585205,10.18120551109314,18.034632444381714,5.6457519548303026e-08,3.8146971692576415e-10,0.48032647371292114,0.2790135145187378,0.08668757975101471,0.1697867065668106,0.5808830261230469,1.0,1.0
