Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/EpCostRegret,Train/Epoch,Train/TotalSteps,Train/KL,Train/div,Train/target_div,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv,Misc/Alpha,Misc/FinalStepNorm,Misc/xHx,Misc/gradient_norm,Misc/H_inv_g,Misc/AcceptanceStep,Misc/optim_case
-620.0133722918749,0.0,1000.0,0.0,1,20000,0.0070845866575837135,0.007087165489792824,0.01,25.997330523448387,0.005532721783609907,-0.02797752618789673,8.708558797836304,11.758941888809204,20.46751070022583,-4.577636758540393e-08,2.0265578104528004e-09,0.6803102493286133,0.2606033384799957,0.043213143944740295,0.12346889823675156,0.38306546211242676,1.0,1.0
-599.5610799885733,0.0,1000.0,0.0,2,40000,0.006469256244599819,0.0064674257300794125,0.01,20.67476046434633,2.074327213032485e-05,-0.02781878039240837,6.8343470096588135,10.076850891113281,16.91119956970215,3.738403364650367e-08,0.0,0.6826572418212891,0.28162941336631775,0.042916521430015564,0.1158323884010315,0.4125487804412842,1.0,1.0
-556.6212085211143,0.0,1000.0,0.0,3,60000,0.006477036979049444,0.006474754773080349,0.01,27.779879094992474,1.1006351068688868e-09,-0.0228681992739439,6.816566467285156,10.066419124603271,16.882987022399902,-1.319885285511191e-07,2.4054315397176174e-12,0.8087824583053589,0.2809877097606659,0.030574999749660492,0.09750860929489136,0.3474206030368805,1.0,1.0
-495.5953465444019,0.0,1000.0,0.0,4,80000,0.006739227566868067,0.006738628726452589,0.01,32.754272960249786,2.7548205685837816e-10,-0.02528665028512478,6.7972412109375,10.006180763244629,16.803423404693604,3.356933575560106e-08,1.0289658881890151e-11,0.746308445930481,0.27631404995918274,0.035908158868551254,0.10834089666604996,0.37024107575416565,1.0,1.0
-442.93745778079665,0.018000000000000006,1000.0,0.0,5,100000,0.006869692355394363,0.006869073025882244,0.01,29.910618441879368,0.0004314591699418587,-0.024993086233735085,6.813959836959839,10.066183805465698,16.88014554977417,-1.2207030941624453e-08,-4.768371461572052e-11,0.76911860704422,0.2659444808959961,0.0338098481297493,0.111240454018116,0.345778226852417,1.0,1.0
-390.93772582038014,0.020000000000000004,1000.0,0.0,6,120000,0.006743119563907385,0.006741141434758902,0.01,27.90820335886281,3.854398491883391e-09,-0.02139919064939022,6.8228840827941895,10.113764524459839,16.93665051460266,-1.6403197022896165e-08,-8.381903027557258e-13,0.8772168755531311,0.2729323208332062,0.025990573689341545,0.09816446900367737,0.31113436818122864,1.0,1.0
-325.5166617989062,0.012,1000.0,0.0,7,140000,0.006295550148934126,0.006299370434135199,0.01,19.880583483702058,1.5268745551704224e-09,-0.02619902230799198,6.8455541133880615,10.067471027374268,16.913027048110962,8.392333938900265e-09,-1.2357485694447501e-11,0.7430552840232849,0.28959333896636963,0.036223262548446655,0.10808008909225464,0.389733225107193,1.0,1.0
-261.2198594922976,0.0,1000.0,0.0,8,160000,0.006532817613333464,0.006531152408570051,0.01,17.665705935666516,1.042729482482843e-09,-0.026678020134568214,6.88015604019165,10.100334167480469,16.980492115020752,1.525878801089675e-08,-1.3053067307589039e-11,0.767487645149231,0.28075313568115234,0.033953696489334106,0.1173127144575119,0.36580801010131836,1.0,1.0
-195.13298884244972,0.0,1000.0,0.0,9,180000,0.006485869642347097,0.006483902223408222,0.01,21.02241887074367,7.247929964979793e-10,-0.02677074447274208,6.839532136917114,10.14081859588623,16.980353116989136,2.2888183792701966e-08,-6.6065694581673995e-12,0.7444572448730469,0.2815627455711365,0.03608696162700653,0.11293669790029526,0.3782120943069458,1.0,1.0
-152.6149719195833,0.0,1000.0,0.0,10,200000,0.006547971162945032,0.006548634264618158,0.01,17.014798069000243,5.393133760880324e-10,-0.028420547023415565,6.816120624542236,10.049206256866455,16.865329027175903,2.9754637864698452e-08,-1.1685187539800523e-11,0.7143858075141907,0.2804129123687744,0.03918900340795517,0.11211133003234863,0.3925230801105499,1.0,1.0
