Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/EpCostRegret,Train/Epoch,Train/TotalSteps,Train/KL,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv,Misc/Alpha,Misc/FinalStepNorm,Misc/xHx,Misc/gradient_norm,Misc/H_inv_g,Misc/AcceptanceStep
-609.8340319390751,0.0,1000.0,0.0,1,20000,0.0069614267,27.08233846433603,0.004019312410367724,1.8210411667496373e-07,6.998142242431641,9.168217420578003,16.166368007659912,-1.8920897559837613e-07,-1.239776614703203e-09,0.6883882284164429,0.2674121856689453,0.04220491647720337,0.1186630055308342,0.38846129179000854,1.0
-595.443311225689,0.0,1000.0,0.0,2,40000,0.006546036,23.099803295864422,0.00023427399042285653,-3.464818121301505e-08,6.818226337432861,8.488902807235718,15.307130575180054,3.356933575560106e-08,-1.0967254882032762e-09,0.775392472743988,0.28104060888290405,0.03326493501663208,0.10083694756031036,0.3624494671821594,1.0
-567.0299091957127,0.0,1000.0,0.0,3,60000,0.006751611,21.251509632426462,2.0858350330709767e-05,3.0919906635062944e-09,6.820921897888184,8.467137813568115,15.288061380386353,-3.8146971692576415e-10,-5.327164820378982e-10,0.7041010856628418,0.27322059869766235,0.04034222289919853,0.11704415082931519,0.3880417048931122,1.0
-505.9013013432427,0.0,1000.0,0.0,4,80000,0.0062772594,24.006957304401762,9.378387535347846e-06,-1.845694974633716e-08,6.808215379714966,8.479876041412354,15.288093328475952,1.754760781125242e-08,6.1579047416771e-10,0.7516571879386902,0.2880263328552246,0.0353989377617836,0.10358081758022308,0.3831884264945984,1.0
-431.73804856770494,0.0,1000.0,0.0,5,100000,0.0063895467,24.906587430625965,6.4277945045670226e-06,1.2174434793621458e-08,6.810716867446899,8.468262434005737,15.27898120880127,-1.2207030941624453e-08,-4.189088798067786e-10,0.8300211429595947,0.2841673195362091,0.02903030253946781,0.09462118148803711,0.3423615097999573,1.0
-365.4787629376867,0.006,1000.0,0.0,6,120000,0.0068554226,29.69022402429277,0.0004356234513075706,8.606909851494038e-09,6.8355841636657715,8.465642929077148,15.301229000091553,-4.577636492086867e-09,-5.00678998260895e-10,0.7726845741271973,0.2698515057563782,0.03349849954247475,0.11343041807413101,0.34923890233039856,1.0
-295.9962447380513,0.024999999999999994,1000.0,0.0,7,140000,0.00721348,29.4118805022756,0.00043702625218305056,3.8146971692576415e-10,6.795338869094849,8.466691732406616,15.262032270431519,-7.629394338515283e-10,2.7418137205081905e-10,0.635132908821106,0.26254546642303467,0.04957933351397514,0.14372681081295013,0.41337093710899353,1.0
-228.83461452333026,0.04000000000000001,1000.0,0.0,8,160000,0.007093486,26.929290139143635,2.464271812154919e-06,1.105666136425043e-08,6.817037105560303,8.508719444274902,15.32575798034668,-1.3732909920349812e-08,3.762543054897094e-10,0.6978650689125061,0.2693551182746887,0.041066430509090424,0.12659968435764313,0.38597020506858826,1.0
-146.58582656300314,0.07900000000000003,1000.0,0.0,9,180000,0.007295356,32.29429408030905,0.0017305934240475778,5.269050529221886e-09,6.831220388412476,8.50934624671936,15.34056830406189,-3.051757735406113e-09,1.1444091230217168e-09,0.7367587089538574,0.2603425085544586,0.03684505820274353,0.12582002580165863,0.35336199402809143,1.0
-66.56791947393009,0.10700000000000003,1000.0,0.0,10,200000,0.0072184848,39.159818253243806,0.0008790038456404372,1.4728306574340877e-08,6.826294183731079,8.516751050949097,15.343047142028809,-1.2207030941624453e-08,-4.708766709882184e-10,0.7127993702888489,0.25695258378982544,0.03936363756656647,0.13555800914764404,0.36048373579978943,1.0
