Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/EpCostRegret,Train/Epoch,Train/TotalSteps,Train/KL,Train/div,Train/target_div,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv,Misc/Alpha,Misc/FinalStepNorm,Misc/xHx,Misc/gradient_norm,Misc/H_inv_g,Misc/AcceptanceStep,Misc/optim_case
-265.61497250976504,0.8715295122264703,85.1720830706805,0.0,1,20000,0.006702878512442112,0.006701837293803692,0.01,430.7129883006879,0.33807382147972753,-0.05047605186700821,10.761141777038574,10.5981605052948,21.359307527542114,3.662109193669494e-08,1.907348501362094e-09,0.3674179017543793,0.2717505693435669,0.14815261960029602,0.21388238668441772,0.7396225333213806,1.0,1.0
-379.5292660076682,0.9833576642335768,141.84627737226276,0.0,2,40000,0.006376355420798063,0.006429917644709349,0.01,226.94231447839434,0.23676338246222703,-0.04242277890443802,8.912911176681519,10.3829345703125,19.29585099220276,-1.4343261511839955e-07,3.8146971692576415e-10,0.44823387265205383,0.28334254026412964,0.09954525530338287,0.17097969353199005,0.632131040096283,1.0,1.0
-306.75648486547186,1.0123741007194245,137.48258992805756,0.0,3,60000,0.006028392352163792,0.006035742349922657,0.01,228.11586351819858,0.24341933023848922,-0.040400248020887375,8.895460367202759,10.466535329818726,19.361998319625854,-1.525878801089675e-08,0.0,0.4741828739643097,0.2932216227054596,0.08894841372966766,0.15926291048526764,0.6183724403381348,1.0,1.0
-260.1019014687435,0.9325827814569536,140.96092715231788,0.0,4,80000,0.0057759033516049385,0.005791171453893185,0.01,244.6019647488928,0.26792591263534155,-0.035122014582157135,8.907554149627686,10.3529794216156,19.260536193847656,5.340575981449547e-09,1.5258788677030566e-09,0.5565902590751648,0.302320659160614,0.06455929577350616,0.13146650791168213,0.5431655645370483,1.0,1.0
-176.32787130395405,0.759879518072289,112.03879518072286,0.0,5,100000,0.0055634090676903725,0.005618770606815815,0.01,243.16495171808134,0.33456115811873394,-0.03657960891723633,8.899527788162231,10.465832948684692,19.365362644195557,-7.629394005448376e-09,-4.577636492086867e-09,0.5237365961074829,0.30950066447257996,0.07291284948587418,0.1363164186477661,0.590947151184082,1.0,1.0
-188.46929405883836,1.0097142857142858,137.29714285714286,0.0,6,120000,0.005416532047092915,0.005419978406280279,0.01,194.61667527605775,0.20844711672728228,-0.03434687480330467,8.906007289886475,10.464274168014526,19.370283603668213,1.0681151962899094e-08,-1.5258788677030566e-09,0.5555867552757263,0.3139530122280121,0.0647927075624466,0.12680019438266754,0.5650837421417236,1.0,1.0
-158.1441895465645,0.8409523809523811,139.0360544217687,0.0,7,140000,0.005414237268269062,0.005416295491158962,0.01,160.2036181990508,0.30836729068949725,-0.036890894174575806,8.919799327850342,10.389569997787476,19.30937170982361,1.907348590179936e-08,0.0,0.5244128108024597,0.31400153040885925,0.07272494584321976,0.13422326743602753,0.5987678170204163,1.0,1.0
-105.40710228071143,1.0988297872340425,109.05563829787233,0.0,8,160000,0.005923021584749222,0.00593363493680954,0.01,158.27245733662016,0.4756253738929132,-0.03668414056301117,8.932188272476196,10.471203327178955,19.403395891189575,9.155272984173735e-09,3.2424924967244806e-09,0.513843297958374,0.29898256063461304,0.0757475420832634,0.14423221349716187,0.5818555951118469,1.0,1.0
-102.6883917902505,0.9726627218934911,123.02082840236685,0.0,9,180000,0.006072635762393475,0.006077819503843784,0.01,126.5790814903891,0.2599269509861234,-0.03453081101179123,8.886127471923828,10.47944712638855,19.365577220916748,1.2588500908350397e-08,1.907348501362094e-09,0.5519167184829712,0.2913267910480499,0.06565727293491364,0.14109468460083008,0.5278455018997192,1.0,1.0
-76.70636290169718,1.0033513513513515,115.07718918918918,0.0,10,200000,0.005856618285179138,0.005871333181858063,0.01,114.48302487901822,0.36253423381857813,-0.034141477197408676,8.916948556900024,10.364937543869019,19.281888723373413,1.2207030941624453e-08,0.0,0.5581106543540955,0.2995586395263672,0.064208023250103,0.13609778881072998,0.5367369651794434,1.0,1.0
