Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/EpCostRegret,Train/Epoch,Train/TotalSteps,Train/KL,Train/div,Train/target_div,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv,Misc/Alpha,Misc/FinalStepNorm,Misc/xHx,Misc/gradient_norm,Misc/H_inv_g,Misc/AcceptanceStep,Misc/optim_case
-609.8340319390751,0.0,1000.0,0.0,1,20000,0.00695881387218833,0.006960997823625803,0.01,27.08233846433603,0.004019312410367724,-0.026320818811655045,8.82684850692749,11.7127845287323,20.53964114189148,-1.8920897559837613e-07,-1.239776614703203e-09,0.6885439157485962,0.2673490345478058,0.04218582808971405,0.1186630055308342,0.3882817029953003,1.0,1.0
-592.3440266662767,0.0,1000.0,0.0,2,40000,0.00649624690413475,0.006494950968772173,0.01,29.801276757307114,0.00021452464621271613,-0.0249136071652174,6.9937286376953125,10.25425100326538,17.24798274040222,-2.727508530142586e-08,-1.1265277599648016e-09,0.7872798442840576,0.2818406820297241,0.032267965376377106,0.10048428177833557,0.3579930067062378,1.0,1.0
-564.6948187309408,0.0,1000.0,0.0,3,60000,0.006532337516546249,0.006532343104481697,0.01,32.732648512967835,1.3768487258475595e-05,-0.025432469323277473,6.998826742172241,10.194494009017944,17.193323850631714,-1.0223388358099328e-07,-8.460134259813401e-10,0.7537097930908203,0.28325024247169495,0.0352063924074173,0.10434731841087341,0.37580808997154236,1.0,1.0
-498.48176878035457,0.018000000000000006,1000.0,0.0,4,80000,0.006839300971478224,0.006840035784989595,0.01,36.14333188305994,0.00044005429855700827,-0.022951267659664154,6.97565484046936,10.200749635696411,17.17640733718872,6.103515470812226e-09,-4.291534350109316e-10,0.8351449370384216,0.2744961977005005,0.028675176203250885,0.09971527755260468,0.3286809027194977,1.0,1.0
-411.5639517107523,0.020000000000000004,1000.0,0.0,5,100000,0.0063131642527878284,0.0063134306110441685,0.01,27.636834999254553,6.671507327925732e-06,-0.02357007935643196,6.999268293380737,10.229130029678345,17.22840166091919,-2.4414061883248905e-08,-8.959322728152586e-10,0.8384422063827515,0.28891927003860474,0.02845008671283722,0.09455499798059464,0.34459054470062256,1.0,1.0
-338.8961447121107,0.012,1000.0,0.0,6,120000,0.006456454750150442,0.006459505297243595,0.01,27.254716831863306,4.520494590112674e-06,-0.023466158658266068,6.998796463012695,10.232638359069824,17.23143744468689,-9.918212917625624e-09,1.972541158190566e-10,0.8338364362716675,0.2865966856479645,0.028765246272087097,0.09561153501272202,0.34370851516723633,1.0,1.0
-275.72610817195743,0.0,1000.0,0.0,7,140000,0.007085222750902176,0.007084354292601347,0.01,31.459080654800317,3.2016362095297373e-06,-0.026163848116993904,6.978693723678589,10.135915279388428,17.114611864089966,8.964538444899972e-09,-3.8947908787001495e-10,0.7476669549942017,0.2620440125465393,0.03577778860926628,0.11590953171253204,0.3504822552204132,1.0,1.0
-202.61302003955842,0.005,1000.0,0.0,8,160000,0.0073521495796740055,0.007354617118835449,0.01,33.22695417525662,0.00044279830020292475,-0.027281813323497772,6.991842985153198,10.21731972694397,17.20916438102722,2.1743773004345712e-08,-5.9604643443123e-10,0.7328948378562927,0.25741589069366455,0.0372345857322216,0.12839432060718536,0.3512316644191742,1.0,1.0
-103.6465602871635,0.048999999999999995,1000.0,0.0,9,180000,0.007089668419212103,0.0070973909460008144,0.01,33.22163213499033,0.0021087972095805655,-0.02681219018995762,7.009684085845947,10.170478343963623,17.180164098739624,-2.2125243859250077e-08,1.00135799652179e-09,0.7544612288475037,0.2669817805290222,0.03513629361987114,0.12304531782865524,0.3538707494735718,1.0,1.0
-13.5583254742149,0.20900000000000002,1000.0,0.0,10,200000,0.007066934369504452,0.007156073115766048,0.01,38.41841326185093,0.007126924445716665,-0.027334533631801605,6.985272407531738,10.122605323791504,17.107880115509033,5.435943606357796e-08,0.0,0.7222719788551331,0.26061388850212097,0.03833790123462677,0.13754835724830627,0.36082515120506287,1.0,1.0
81.28465081442168,0.5329999999999999,1000.0,0.0,11,220000,0.007454623002558947,0.007666673976927996,0.01,46.441311140121165,0.014984752898954247,-0.027897002175450325,6.988128423690796,10.169776678085327,17.157907485961914,1.3732909920349812e-08,-1.1444091230217168e-09,0.6942198872566223,0.24668124318122864,0.0414988212287426,0.16638757288455963,0.35533589124679565,1.0,1.0
142.61470306619032,1.1549999999999998,1000.0,0.0,12,240000,0.006524313241243362,0.006555553525686264,0.01,49.71852789228889,0.023985293875804326,-0.026760665699839592,6.972591400146484,10.20409631729126,17.176690578460693,-7.629394338515283e-10,1.9073485846288207e-10,0.7287615537643433,0.27792882919311523,0.037658147513866425,0.13865162432193756,0.381371408700943,1.0,1.0
209.19113982716394,2.011,1000.0,0.0,13,260000,0.006566915661096573,0.006712999194860458,0.01,50.47570682817204,0.055850665501888344,-0.025256557390093803,6.988013505935669,10.135451793670654,17.123467445373535,3.5476684701052363e-08,1.1444091230217168e-09,0.7662577629089355,0.2731786370277405,0.03406277671456337,0.13083070516586304,0.35651013255119324,1.0,1.0
251.7859547156932,2.5300000000000002,1000.0,0.0,14,280000,0.0064635020680725574,0.00656207324936986,0.01,58.04878944469865,0.03938310917045708,-0.026741981506347656,6.982962131500244,10.167890310287476,17.150856256484985,4.577636492086867e-09,2.2888182460434336e-09,0.7383814454078674,0.2697538733482361,0.03668329119682312,0.14202037453651428,0.36533135175704956,1.0,1.0
315.51041150999083,3.2339999999999995,1000.0,0.0,15,300000,0.0067130462266504765,0.00689238915219903,0.01,73.58379486472744,0.12011801222944335,-0.026487896218895912,6.976024389266968,10.224387168884277,17.200413703918457,4.653930574249898e-08,2.2888182460434336e-09,0.7121248245239258,0.2587404251098633,0.039438243955373764,0.15929976105690002,0.3633357584476471,1.0,1.0
314.29303477362174,3.9859999999999998,1000.0,0.0,16,320000,0.005934084299951792,0.006564969662576914,0.01,60.413014959833426,0.08364291539368261,-0.025572936981916428,6.977536678314209,10.12227177619934,17.0998113155365,1.4686584393075464e-08,1.907348501362094e-09,0.7444710731506348,0.26468604803085327,0.036085620522499084,0.17850999534130096,0.35553571581840515,1.0,1.0
333.2113299675631,4.531,1000.0,0.0,17,340000,0.006538852117955685,0.00680661853402853,0.01,66.55190784551536,0.13489997845831192,-0.025388717651367188,6.976703405380249,10.185869455337524,17.162575244903564,3.05175760217935e-08,-1.5258788677030566e-09,0.740971565246582,0.2648671269416809,0.03642727807164192,0.14818717539310455,0.3574592173099518,1.0,1.0
399.8458970198545,5.609,1000.0,0.9,18,360000,0.0061461892910301685,0.0065276590175926685,0.01,70.38621771502646,0.2288982118058736,-0.022377753630280495,6.990800619125366,10.190986156463623,17.181790590286255,-3.814697002724188e-09,-1.1444091230217168e-09,0.8764041066169739,0.28403738141059875,0.026038803160190582,0.15636608004570007,0.32409408688545227,1.0,1.0
537.8429592033648,8.9,1000.0,3.4,19,380000,0.006234726868569851,0.006370267830789089,0.01,74.34124654296097,0.3293353790737641,-0.02519954741001129,6.991572618484497,10.113505840301514,17.10508155822754,1.0681151962899094e-08,1.7356871495621817e-08,0.770022988319397,0.28041622042655945,0.03373047709465027,0.1611383855342865,0.3641660511493683,1.0,1.0
614.4948795623002,11.385000000000002,1000.0,9.85,20,400000,0.006248678546398878,0.006285573821514845,0.01,86.26432564850825,0.2946762333060526,-0.023069944232702255,6.982470989227295,10.159300804138184,17.141777276992798,3.509521562250484e-08,1.5258788677030566e-09,0.813625156879425,0.27729228138923645,0.03021211363375187,0.14766789972782135,0.3408108353614807,1.0,1.0
